question,answer
What is cold atom memory?,Cold atoms have long coherence. Magneto-optical traps or lattices hold atoms. Cold atoms achieve high fidelity.
What is photon echo?,Photon echo is coherent re-emission after inhomogeneous dephasing. Rephasing pulse causes echo. Echo underlies memory protocols.
What is stimulated Raman adiabatic passage?,STIRAP transfers population between states. Adiabatic pulses ensure transfer. STIRAP enables quantum memory.
What is quantum interference in photonics?,"Interference underlies all quantum photonic effects. Path, polarization, and frequency interfere. Interference is fundamental resource."
What is two-photon interference?,Two-photon interference requires indistinguishable photons. HOM effect is example. Two-photon interference enables gates.
What is multi-photon interference?,Multi-photon interference involves many photons. Boson sampling exploits it. Complexity increases with photon number.
What is the photonic quantum internet?,Photonic internet distributes quantum information globally. Fibers and satellites carry photons. Internet enables distributed quantum computing.
What is entanglement distribution in quantum photonics?,Distribution shares entanglement between distant nodes. Direct transmission or repeaters are used. Distribution is network foundation.
What is quantum teleportation over fiber?,Fiber teleportation transmits quantum states. Entanglement and classical communication enable it. Fiber teleportation is demonstrated.
What is long-distance entanglement?,Long-distance entanglement connects distant sites. Losses limit direct distribution. Repeaters would extend range.
What is free-space optical quantum communication?,Free-space uses atmosphere for transmission. Daylight and turbulence are challenges. Free-space enables mobile nodes.
What is adaptive optics for quantum in quantum photonics?,Adaptive optics corrects atmospheric turbulence. Wavefront sensing guides correction. AO improves free-space quantum links.
What is quantum sensing with light?,Light enables gravitational wave detection and more. LIGO uses quantum-enhanced interferometry. Sensing is major application.
What is squeezed light in LIGO?,LIGO injects squeezed vacuum to reduce shot noise. Sensitivity improves at high frequencies. Squeezing is operational in LIGO.
What is optical clock network?,Clock networks compare distant atomic clocks. Optical fibers carry stable frequency. Networks enable precision timing.
What is time-frequency entanglement?,Time-frequency entangled photons have correlated timing and frequency. High-dimensional entanglement results. Time-frequency is continuous variable.
What is orbital angular momentum of photons?,OAM is angular momentum from helical wavefront. Infinite-dimensional space is available. OAM enables high-dimensional encoding.
What is hyperentanglement?,Hyperentanglement uses multiple degrees of freedom. Polarization and OAM and time can entangle. Hyperentanglement increases capacity.
What is high-dimensional quantum key distribution?,HD-QKD uses more than two levels per photon. Key rate per photon increases. HD-QKD improves efficiency.
What is photonic quantum simulation?,Photonic simulators model physical systems. Bosonic systems are natural fit. Simulation reveals physics.
What is analog quantum simulation with photons?,Analog simulation maps Hamiltonian to photonic system. Direct simulation without gates. Analog is efficient for specific problems.
What is photonic reservoir computing?,Reservoir uses complex optical dynamics. Only readout is trained. Reservoir computing exploits photonic complexity.
What is neuromorphic photonics?,Neuromorphic photonics implements neural networks optically. Speed and energy advantages are possible. Neuromorphic is emerging application.
What is the quantum-classical interface in quantum photonics?,Interface converts between quantum and classical signals. Measurement and feedback are involved. Interface enables hybrid systems.
What is real-time feedback in photonics?,Real-time feedback adjusts based on measurement. Fast electronics enable correction. Feedback enables advanced protocols.
What is classical communication in quantum protocols?,Classical communication carries measurement results. It is required for teleportation. Classical complements quantum channel.
What is integrated quantum photonics?,Integration puts quantum optics on chip. Scalability and stability improve. Integration is key technology.
What materials suit integrated photonics?,"Silicon, silicon nitride, and lithium niobate are used. Each has advantages. Material choice depends on application."
What is the future of quantum photonics?,"Future includes better sources, integration, and networks. Photonics will enable quantum technologies. Progress is accelerating."
What research directions are active?,"Active areas include sources, memories, and integration. Error correction and networks develop. Research spans theory and experiment."
What is the photonic quantum advantage?,Advantage is task quantum does better. Boson sampling and simulation show advantage. Advantage motivates development.
What near-term applications exist?,Near-term includes QKD and sensing. Quantum computing follows. Applications drive technology.
What is the photon creation operator?,Creation operator adds one photon to mode. a-dagger creates photon. Creation and annihilation describe field.
What is the photon annihilation operator?,Annihilation operator removes one photon. a destroys photon. Annihilation lowers photon number.
What are number states of light?,Number states have definite photon count. They are Fock states. Number states are orthogonal basis.
What is the photon number operator?,Number operator counts photons in mode. It equals a-dagger times a. Number operator has integer eigenvalues.
What is optical phase?,Phase describes where field is in oscillation cycle. Relative phase affects interference. Phase is conjugate to number.
What is the photon number-phase uncertainty?,Number and phase are complementary. Precise number means uncertain phase. Trade-off is fundamental.
What is a displaced state?,Displaced state is vacuum shifted in phase space. Coherent states are displaced vacua. Displacement adds amplitude.
What is the displacement operator?,Displacement operator shifts state in phase space. D(alpha) creates coherent state. Displacement is unitary.
What is the squeezing operator?,Squeezing operator compresses quadrature. S(r) squeezes vacuum. Squeezing is parametric process.
What is the beam splitter transformation?,Beam splitter mixes two modes linearly. Unitary transformation preserves total photon number. BS enables interference.
What is the beam splitter Hamiltonian?,BS Hamiltonian couples two modes. Linear coupling describes mixing. Hamiltonian generates BS unitary.
What is phase shifter operation?,Phase shifter adds phase to one mode. It implements rotation in phase space. Phase shift is single-mode operation.
What is optical mode?,"Mode is solution to wave equation. Frequency, polarization, and spatial profile define mode. Mode is quantum degree of freedom."
Why is mode matching critical for interference?,"Mode mismatch reduces interference visibility. Spatial, temporal, and spectral overlap matter. Perfect matching enables maximum visibility."
What is transverse mode?,Transverse mode is spatial beam profile. Gaussian is fundamental mode. Higher-order modes exist.
What is a Gaussian beam?,Gaussian beam has Gaussian intensity profile. It is fundamental transverse mode. Gaussian beams focus well.
What is the beam waist?,Waist is minimum beam size. Divergence relates to waist. Waist determines focusing.
What is the Rayleigh range?,Rayleigh range is distance over which beam stays focused. It depends on waist and wavelength. Rayleigh characterizes beam.
What is optical coherence length?,Coherence length is distance over which phase is stable. Narrower spectrum means longer coherence. Coherence affects interference.
What is temporal coherence?,Temporal coherence measures time over which phase persists. Monochromatic light has long temporal coherence. Coherence time relates to bandwidth.
What is spatial coherence?,Spatial coherence measures phase correlation across beam. Point source has high spatial coherence. Spatial coherence affects diffraction.
What is partial coherence?,Partial coherence is intermediate case. Real sources have partial coherence. Coherence matrix describes it.
What is the coherence matrix?,Coherence matrix describes correlations between modes. It characterizes partial coherence. Matrix is positive semidefinite.
What is classical versus quantum coherence?,Classical coherence is field correlation. Quantum coherence involves superposition. Both affect interference.
What is optical pumping for quantum optics?,Optical pumping prepares atomic states. Population is transferred using light. Pumping initializes quantum systems.
What is laser cooling for photon sources?,Laser cooling reduces atomic motion. Narrow emission lines result. Cooling improves source quality.
What is Doppler broadening?,Doppler broadening comes from atomic motion. Different velocities shift frequency. Broadening degrades indistinguishability.
What is transform-limited pulses?,Transform-limited pulses have minimum time-bandwidth product. They are optimally compressed. Transform limit is fundamental.
What is spectral filtering of photons?,Filtering narrows photon spectrum. It improves indistinguishability. Filtering trades rate for quality.
What is photon correlation measurement?,Correlation measures joint detection statistics. g2 and higher orders are measured. Correlation reveals quantum nature.
What is conditional state preparation?,Conditional preparation uses detection to herald state. Post-selection achieves target. Conditioning enables non-Gaussian states.
What is photon subtraction?,Photon subtraction removes one photon from state. It creates non-Gaussian states. Subtraction from squeezed vacuum makes cat.
What is photon addition?,Photon addition adds one photon. It also creates non-Gaussianity. Addition is complementary to subtraction.
What is Gaussian to non-Gaussian conversion?,Non-Gaussian states are harder to create. Subtraction and addition convert Gaussian. Non-Gaussian enables universality.
How does continuous-variable computing work?,CV computing manipulates quadrature amplitudes continuously. Gaussian operations are easy. Non-Gaussian operations complete universality.
What is the GKP encoding?,Gottesman-Kitaev-Preskill encodes qubit in oscillator. Grid states provide error correction. GKP enables fault tolerant CV.
What are cat codes?,Cat codes encode in superposition of coherent states. Phase flips are detectable. Cat codes protect quantum information.
What is bosonic error correction?,Bosonic codes use oscillator for error correction. Redundancy is in amplitude space. Bosonic codes suit photonic and microwave.
What is the optical Kerr effect for computing?,Kerr enables conditional phase shift. Self and cross Kerr are distinguished. Kerr nonlinearity enables gates.
What is cross-Kerr for photon gates?,Cross-Kerr shifts phase of one mode based on another. Controlled phase results. Cross-Kerr is proposed gate mechanism.
What limits practical Kerr gates?,Weak Kerr and noise limit practical gates. Strong coupling is challenging. Kerr gates face obstacles.
What is measurement-induced nonlinearity?,Measurement probabilistically implements nonlinear operation. Success is detected. Measurement-induced enables linear optical computing.
What is feed-forward for photonic gates?,Feed-forward applies correction based on measurement. It completes teleportation-based gates. Fast switching is needed.
What is optical delay line?,Delay line stores photons in fiber loop. It provides temporary storage. Delay enables synchronization.
What is fiber loop memory?,Fiber loop recirculates photons. Multiple round trips store photons. Loop is simple memory.
What is cavity delay memory?,Cavity stores photon through multiple reflections. High finesse extends storage. Cavity delay is alternative.
What is on-chip photon routing?,Routing switches photons between waveguides. Active and passive routing exist. Routing enables complex circuits.
What is waveguide crossing?,Crossings allow waveguides to intersect. Low-loss crossing is challenging. Crossings enable dense integration.
What is photonic wire bonding?,Wire bonding connects chips with polymer waveguides. It enables hybrid integration. Bonding assembles systems.
What is fiber-to-chip coupling?,Coupling transfers light between fiber and chip. Mode matching is needed. Efficient coupling reduces loss.
What is edge coupling versus grating?,Edge coupling uses waveguide facet. Gratings couple from surface. Each has advantages.
What is detector integration on chip?,Integrated detectors are placed on photonic chip. SNSPDs and waveguide detectors exist. Integration improves efficiency.
What is source integration on chip?,Integrated sources generate photons on chip. Quantum dots and SPDC integrate. Integration enables scalability.
What is monolithic versus hybrid integration?,Monolithic makes everything in one material. Hybrid combines different materials. Each approach has trade-offs.
What is the role of cryogenics in photonics?,Cryogenics enables SNSPDs and reduces noise. Some sources need low temperature. Cryogenics adds complexity.
What is room temperature quantum photonics?,Room temperature operation simplifies systems. Some sources and memories work warm. Room temperature is preferred.
What is the photon budget?,Photon budget accounts for all losses. Every element contributes loss. Budget determines success rate.
What is loss compensation?,Loss cannot be compensated with amplification for quantum. Multiplexing and error correction help. Loss management is essential.
What is quantum amplifier?,Quantum amplifiers add noise fundamentally. Noiseless amplification is impossible. Amplification degrades quantum states.
What is the no-cloning and amplification?,No-cloning prevents perfect amplification. Approximate cloning is possible. Fundamental limit exists.
What is heralded amplification?,Heralded amplification succeeds probabilistically. Success is announced. Heralding enables noiseless amplification.
What is photon number statistics?,"Statistics describe photon number distribution. Poissonian, sub, and super-Poissonian exist. Statistics characterize light."
What is intensity correlation in quantum optics?,Intensity correlation measures joint intensities. g2 function quantifies correlation. Correlation reveals statistics.
What is field correlation in quantum optics?,Field correlation measures phase coherence. g1 function quantifies it. Field correlation determines interference.
How does quantum regression simplify calculations?,Regression expresses two-time correlations from single-time dynamics. Master equation solutions extend to correlations. Simplification enables many calculations.
What is quantum thermodynamics?,"Quantum thermodynamics extends thermodynamics to quantum systems. It studies heat, work, and entropy at quantum scale. Quantum effects modify classical thermodynamic laws."
How does quantum mechanics affect thermodynamics?,Quantum coherence and entanglement influence energy and entropy. Discrete energy levels change heat capacity. Quantum effects become important at small scales.
What is the first law in quantum thermodynamics?,The first law conserves energy including quantum contributions. Work and heat transfer energy. Quantum coherence can store energy.
What is the second law in quantum thermodynamics?,The second law governs entropy increase. Quantum versions use von Neumann entropy. Fluctuations become important at small scales.
What is the third law in quantum thermodynamics?,The third law states entropy approaches constant at zero temperature. Ground state degeneracy affects the limit. Quantum systems can have zero entropy ground states.
What is quantum heat?,Quantum heat is energy transfer without work. It changes system entropy. Heat flow involves thermal reservoirs.
What is quantum work?,Quantum work is energy transfer through controlled operations. It changes system energy without entropy increase. Work involves parameter changes.
What is the work-heat distinction in quantum systems?,The distinction depends on how energy is transferred. Coherent driving does work; thermal contact transfers heat. Quantum coherence blurs the distinction.
What is the quantum Carnot engine?,Quantum Carnot engines use quantum working substances. They achieve Carnot efficiency at reversible limit. Quantum effects can modify performance.
What is the Otto cycle in quantum?,Quantum Otto cycle uses quantum working medium. Discrete levels affect efficiency. Otto cycle is common in quantum heat engines.
What is a quantum heat engine?,"Quantum heat engines convert heat to work using quantum systems. Atoms, spins, and oscillators serve as working media. Quantum engines explore fundamental limits."
What is a quantum refrigerator?,Quantum refrigerators use work to transfer heat against gradient. They cool quantum systems. Refrigerators complement heat engines.
What is the efficiency of quantum heat engines?,Efficiency is work output divided by heat input. Carnot limit applies to quantum engines. Quantum effects can modify approach to limit.
Can quantum engines exceed Carnot efficiency?,"No, Carnot efficiency is fundamental limit. Quantum coherence does not violate second law. Apparent violations indicate measurement issues."
What is the power-efficiency trade-off?,Maximum efficiency occurs at zero power. Finite power reduces efficiency. Trade-off is fundamental.
What is finite-time thermodynamics?,Finite-time thermodynamics studies engines operating at finite rate. Irreversibility reduces efficiency. Optimal protocols balance speed and efficiency.
What is the quantum friction?,Quantum friction arises from non-adiabatic transitions. Fast driving creates excitations. Friction reduces engine efficiency.
What is shortcuts to adiabaticity?,Shortcuts achieve adiabatic-like results in finite time. Counter-diabatic driving suppresses transitions. Shortcuts improve engine performance.
How does counter-diabatic driving prevent excitations?,Counter-diabatic terms exactly cancel diabatic transitions. Additional Hamiltonian terms are applied. Perfect following of instantaneous eigenstates results.
What is the quantum speed limit in thermodynamics?,Speed limits bound how fast processes can occur. Energy uncertainty sets speed. Thermodynamic processes have speed limits.
What is the thermodynamic cost of information erasure?,Erasing one bit costs at least kT ln(2) energy. This is the Landauer limit. Information erasure produces entropy.
What is the thermodynamic cost of computation?,Computation that erases information has thermodynamic cost. Reversible computation can avoid this cost. Fundamental limits exist.
What is reversible computation?,Reversible computation avoids information erasure. It can approach zero energy cost. Quantum computation is inherently reversible.
How does Maxwell's demon appear to violate thermodynamics?,The demon uses information to sort molecules. This seems to reduce entropy without work. Resolution requires accounting for demon's memory.
How is Maxwell's demon resolved?,Demon must erase memory to complete cycle. Erasure costs entropy per Landauer. Total entropy increases as required.
What is the Szilard engine?,Szilard engine extracts work using information. Single molecule and demon illustrate principles. Szilard clarified information-thermodynamics connection.
What is information thermodynamics?,Information thermodynamics studies thermodynamic role of information. Measurement and feedback affect work extraction. Information is physical.
What is feedback control in thermodynamics?,Feedback uses measurement to control systems. Information enables work extraction. Feedback connects to Maxwell's demon.
What is the Jarzynski equality?,Jarzynski equality relates free energy to work distribution. It holds far from equilibrium. Fluctuations encode equilibrium information.
What is the Crooks fluctuation theorem?,Crooks theorem relates forward and reverse process probabilities. It implies Jarzynski equality. Fluctuation theorems generalize second law.
What are fluctuation theorems?,Fluctuation theorems describe probability of entropy-decreasing events. They apply to small systems. Theorems extend thermodynamics to fluctuating regime.
What is the fluctuation-dissipation relation?,Fluctuation-dissipation connects noise to damping. Thermal fluctuations relate to dissipation. The relation has quantum extensions.
What is the quantum fluctuation theorem?,Quantum fluctuation theorems account for measurement. Quantum coherence affects fluctuations. Theorems extend to quantum regime.
What is non-equilibrium thermodynamics?,Non-equilibrium studies systems away from equilibrium. Entropy production characterizes irreversibility. Quantum systems can be far from equilibrium.
What is entropy production?,Entropy production measures irreversibility. It is non-negative by second law. Production rate indicates distance from equilibrium.
What is the minimum entropy production principle?,"Near equilibrium, systems minimize entropy production. Steady states have minimum production. The principle guides non-equilibrium behavior."
What is thermodynamic equilibrium?,Equilibrium has no net flows or changes. Maximum entropy state is reached. Detailed balance holds at equilibrium.
What is detailed balance?,Detailed balance means forward and reverse rates equal. It characterizes equilibrium. Breaking detailed balance indicates non-equilibrium.
What is the canonical ensemble?,Canonical ensemble describes systems at fixed temperature. Boltzmann distribution gives probabilities. Canonical is common thermal state.
What is the grand canonical ensemble?,Grand canonical allows particle exchange. Chemical potential controls particle number. Open systems use grand canonical.
What is the microcanonical ensemble?,Microcanonical has fixed energy. Equal probability for accessible states. Isolated systems use microcanonical.
What is quantum statistical mechanics?,Quantum statistical mechanics uses quantum states. Density matrices describe ensembles. Quantum statistics differs from classical.
What is the quantum partition function?,Partition function sums Boltzmann factors over states. It encodes thermodynamic properties. Quantum discreteness affects partition function.
How is von Neumann entropy calculated in this context?,Von Neumann entropy is trace of negative density matrix times its logarithm. Pure states have zero entropy. Mixed states have positive entropy.
What distinguishes quantum from classical information?,Quantum information uses superposition and entanglement. It cannot be copied or broadcast. Quantum information has unique manipulation rules.
What is a qubit as information carrier?,A qubit carries one quantum bit of information. Superposition allows more than 0 or 1. Measurement collapses to classical bit.
What is the limit of quantum data compression?,Von Neumann entropy sets the compression limit. Schumacher coding achieves this limit. Compression preserves quantum information.
What is the Schumacher compression theorem?,Schumacher showed von Neumann entropy is compressibility limit. Quantum sources can be compressed. Compression is reversible.
How does Holevo bound limit classical communication?,Holevo bound limits extractable classical information. At most n classical bits from n qubits. Bound is achievable with product states.
How is accessible information maximized?,Optimal measurement maximizes accessible information. POVM choice affects extraction. Accessible information is bounded by Holevo.
What is the Holevo quantity?,Holevo quantity upper bounds accessible information. It involves ensemble entropy. Holevo quantity characterizes communication.
How is quantum channel capacity determined?,Capacity uses regularized coherent information. Single-letter formula may not exist. Capacity calculation is complex.
What is the classical capacity of quantum channels?,Classical capacity measures classical bits per channel use. Holevo-Schumacher-Westmoreland theorem gives capacity. Capacity may require entanglement.
What is the quantum capacity?,Quantum capacity measures quantum information transmission. Coherent information bounds capacity. Capacity may require regularization.
How does private capacity relate to quantum capacity?,Private capacity lower bounds quantum capacity. Secure communication is possible if quantum communication is. Capacities have close relationship.
Why does entanglement increase channel capacity?,Shared entanglement enables superdense coding. Capacity can double with entanglement. EA capacity has simple formula.
Why is no-cloning fundamental to quantum mechanics?,No-cloning follows from linearity of quantum mechanics. Cloning would enable superluminal signaling. No-cloning protects quantum cryptography.
What applications rely on no-cloning?,Quantum cryptography relies on no-cloning for security. Eavesdroppers cannot copy transmitted qubits. Key distribution security follows from no-cloning.
What states violate the no-broadcasting theorem?,Non-commuting mixed states cannot be broadcast. Only commuting states allow broadcasting. Non-commutativity prevents copying.
What is the relationship between no-deleting and no-cloning?,No-deleting is time-reversal of no-cloning. Both follow from unitarity. Information is conserved.
Why cannot non-orthogonal states be perfectly distinguished?,Non-orthogonal states have nonzero overlap. No measurement perfectly separates them. Distinguishability requires orthogonality.
How is Helstrom bound achieved?,Optimal measurement achieves Helstrom bound. Projective measurement on difference operator works. Bound gives best possible success.
When is unambiguous discrimination possible?,Unambiguous discrimination requires linearly independent states. Success probability depends on overlap. Zero error is guaranteed when conclusive.
How does minimum error differ from unambiguous?,Minimum error always gives answer but may err. Unambiguous never errs but may abstain. Trade-off between strategies exists.
What are the error types in quantum hypothesis testing?,Type I error rejects true hypothesis. Type II error accepts false hypothesis. Trade-off between errors exists.
When does Chernoff bound apply?,Chernoff applies to many independent copies. Error decreases exponentially with copies. Chernoff exponent characterizes rate.
What properties does quantum relative entropy have?,Relative entropy is non-negative and zero only for identical states. It is not symmetric. Relative entropy decreases under channels.
What is the quantum mutual information?,Mutual information measures correlations between systems. It generalizes classical mutual information. Quantum correlations are captured.
What does negative conditional entropy indicate?,Negative conditional entropy signals quantum correlations. Classical conditional entropy is always positive. Negativity indicates entanglement.
What does strong subadditivity imply?,Strong subadditivity implies conditioning reduces entropy. It has many consequences for quantum information. SSA is a fundamental inequality.
What does data processing inequality mean operationally?,"Operations cannot create correlations from nothing. Information is lost or preserved, never gained. Processing is fundamentally irreversible."
What is the quantum entropy power inequality?,Entropy power inequality bounds entropy under operations. It generalizes classical inequality. Bosonic channels satisfy the inequality.
What is the continuity of entropy?,Entropy is continuous in state. Fannes inequality bounds entropy difference. Continuity enables approximation.
What is the Fannes inequality?,Fannes bounds entropy difference by trace distance. Nearby states have similar entropy. Continuity is quantified.
What is the Araki-Lieb inequality?,Araki-Lieb bounds entropy difference of subsystems. Triangle inequality for entropy. Entanglement affects subsystem entropies.
What is typicality in quantum information?,Typical sequences dominate large ensembles. Quantum typicality underlies compression. Most outcomes are typical.
What is the typical subspace?,Typical subspace contains likely states. Its dimension is exponential in entropy. Compression uses typical subspace.
What is the decoupling theorem?,Decoupling shows subsystems become independent. Random unitaries decouple systems. Decoupling underlies many protocols.
What is the randomizing map?,Randomizing maps destroy correlations. They produce maximally mixed output. Randomization enables decoupling.
What resources does state merging consume?,Merging uses entanglement equal to conditional entropy. Negative conditional entropy yields entanglement. Merging is reversible.
What is the mother protocol?,The mother protocol unifies many quantum protocols. State merging underlies it. Many protocols are special cases.
What is the father protocol?,The father protocol is dual to mother. It involves state redistribution. Duality connects protocols.
Why is one-shot theory important?,One-shot applies to finite resources. Real systems have finite copies. Asymptotic results may not apply.
How do smooth entropies generalize Shannon entropy?,Smooth entropies allow epsilon-error tolerance. They reduce to von Neumann asymptotically. Smoothing handles finite-size effects.
What is the min-entropy?,Min-entropy measures worst-case unpredictability. It bounds guessing probability. Min-entropy is operational.
What is the max-entropy?,Max-entropy measures state spread. It bounds state dimension. Max-entropy complements min-entropy.
What is the conditional min-entropy?,Conditional min-entropy measures unpredictability given side information. It appears in cryptography. Conditioning accounts for adversary knowledge.
How is entanglement used as a computational resource?,"Entanglement enables teleportation, superdense coding, and algorithms. It is consumed in protocols. Resource theory formalizes entanglement value."
What is the resource theory of entanglement?,Resource theory studies entanglement manipulation under LOCC. Free operations are local operations and classical communication. Entanglement is the resource.
What are LOCC operations?,LOCC means local operations and classical communication. Parties can only act locally and communicate classically. LOCC defines entanglement manipulation.
Why is LOCC the natural restriction?,LOCC captures what separated parties can do. No quantum communication is allowed. LOCC defines entanglement as resource.
What properties must entanglement monotones have?,Monotones must not increase on average under LOCC. They should equal entropy for pure states. Monotones quantify entanglement consistently.
What is the entanglement of formation?,Formation is entanglement cost to create state. It measures pure state entanglement needed. Formation is an entanglement measure.
How does entanglement cost differ from formation?,Cost is asymptotic rate; formation is single-copy. They may differ for mixed states. Cost is regularized formation.
How is distillable entanglement computed?,Distillable entanglement is rate of Bell pair extraction. It requires many copies and LOCC. Computation is difficult in general.
What protocols perform entanglement distillation?,BBPSSW and DEJMPS protocols distill entanglement. Multiple rounds improve fidelity. Distillation is essential for quantum networks.
What phenomena does bound entanglement enable?,Bound entanglement enables activation and superactivation. Combining bound states can yield distillable. Strange non-classical behavior emerges.
What are PPT bound entangled states?,PPT states have positive partial transpose. Some PPT states are entangled. PPT entangled states are bound.
What is the Peres-Horodecki criterion?,Peres-Horodecki says separable states have positive partial transpose. Negative eigenvalues indicate entanglement. Criterion is necessary but not sufficient.
What is the partial transpose?,Partial transpose transposes one subsystem. Matrix elements are rearranged. PT is used to detect entanglement.
What is the negativity?,Negativity sums negative eigenvalues of partial transpose. It measures entanglement. Negativity is an entanglement monotone.
What is the logarithmic negativity?,Log negativity is logarithm of trace norm of partial transpose. It bounds distillable entanglement. Log negativity is computable.
How is concurrence calculated for two qubits?,Concurrence uses spin-flipped density matrix. Eigenvalues give formula. Analytic expression exists for two qubits.
What is the tangle?,Tangle is squared concurrence. It distributes in multipartite systems. Tangle quantifies bipartite correlations.
What is the Schmidt decomposition?,Schmidt decomposition writes bipartite pure state in product basis. Coefficients are Schmidt coefficients. Decomposition reveals entanglement.
What are Schmidt coefficients?,Schmidt coefficients are amplitudes in Schmidt decomposition. Their distribution measures entanglement. Equal coefficients mean maximal entanglement.
What is the Schmidt number?,Schmidt number counts non-zero Schmidt coefficients. Higher number means more entanglement dimensions. Schmidt number is entanglement measure.
What is the entanglement entropy?,Entanglement entropy is von Neumann entropy of reduced state. It measures pure state entanglement. Entropy captures entanglement amount.
What is the entanglement spectrum?,Spectrum is set of Schmidt coefficients. It contains more information than entropy. Spectrum reveals entanglement structure.
What is area law for entanglement?,Area law says entanglement scales with boundary. Ground states often obey area law. Area law enables efficient simulation.
When does volume law entanglement occur?,Volume law occurs in thermal states and after thermalization. Random states typically show volume law. Highly excited states follow volume law.
How does monogamy constrain entanglement distribution?,Monogamy limits total entanglement with multiple parties. Maximal bipartite entanglement excludes others. Monogamy is uniquely quantum.
What does Coffman-Kundu-Wootters inequality say about three qubits?,CKW bounds total bipartite entanglement by residual three-way. Tangle distributes among pairs. Monogamy is quantified.
What is entanglement of assistance?,Assistance is maximum entanglement achieved with help. Helper measures and communicates. Assistance is dual to formation.
What is squashed entanglement?,Squashed entanglement is minimum conditional mutual information. It is faithful and additive. Squashed is fundamental measure.
What is faithfulness of entanglement measure?,Faithful measures are zero only for separable states. Faithfulness is desirable property. Not all measures are faithful.
What is the relative entropy of entanglement?,Relative entropy measures distance to separable states. It is entanglement monotone. Relative entropy has operational meaning.
What is geometric entanglement?,Geometric entanglement measures distance to product states. Overlap defines distance. Geometric measure has applications.
What is entanglement witness?,Witness is observable detecting entanglement. Negative expectation indicates entanglement. Witnesses are experimental tools.
How do entanglement witnesses work?,Witnesses are positive on separable states. Entangled states can give negative expectation. Measurement reveals entanglement.
What is optimal entanglement witness?,Optimal witness detects maximum set of entangled states. It is tangent to separable set. Optimization improves detection.
What is entanglement certification?,Certification proves entanglement from measurements. Device-independent certification uses Bell tests. Certification is important for applications.
What is the PPT relaxation?,PPT relaxation approximates separability problem. Optimization over PPT states is efficient. Relaxation bounds entanglement.
What is the separability problem?,Separability problem asks if state is entangled. It is NP-hard in general. Separability is difficult to decide.
What is entanglement in multipartite systems?,Multipartite entanglement has richer structure. Many entanglement classes exist. Classification is complex.
How is genuine multipartite entanglement detected?,GME witnesses detect multipartite entanglement. Negative expectation proves GME. Detection requires fewer measurements than tomography.
What are entanglement classes?,Classes group equivalent states under LOCC. GHZ and W are distinct classes. Classification organizes entanglement.
What is the GHZ class?,GHZ class contains states convertible to GHZ. Tripartite maximally entangled. GHZ has special correlations.
What is the W class?,W class contains states convertible to W state. More robust to particle loss. W differs from GHZ.
What is SLOCC equivalence?,SLOCC allows probabilistic local operations. States are equivalent if convertible. SLOCC classifies entanglement.
What is a quantum channel in this context?,Quantum channel is completely positive trace-preserving map. It describes state evolution. Channels represent physical operations.
What is complete positivity in this context?,Complete positivity ensures positivity even with ancilla. Partial operations remain physical. CP is required for physicality.
What is the Kraus representation in this context?,Kraus represents channels as sum of operator sandwiches. Operators are Kraus operators. Representation is not unique.
What are Kraus operators?,Kraus operators define channel action. They satisfy normalization condition. Operators have physical interpretation.
What is the Stinespring dilation in this context?,Stinespring extends channel to unitary on larger space. Environment degrees of freedom are added. Dilation is canonical form.
What is the Choi matrix in this context?,Choi matrix represents channel as state. Channel-state duality connects them. Choi matrix is positive for CP maps.
What is channel-state duality?,Duality maps channels to bipartite states. Choi-Jamiolkowski isomorphism formalizes this. Duality enables channel study via states.
What is the depolarizing channel in this context?,Depolarizing channel mixes state with maximally mixed. Parameter controls mixing. Depolarizing is symmetric noise model.
What is the amplitude damping channel?,Amplitude damping models energy loss to environment. Excited state decays to ground. Damping describes spontaneous emission.
What is the phase damping channel?,Phase damping destroys coherence without energy loss. Off-diagonal elements decay. Dephasing is common noise type.
What is the bit flip channel in this context?,Bit flip applies X with some probability. Classical-like error model. Bit flip is simple error channel.
What is the phase flip channel in this context?,Phase flip applies Z with some probability. Coherence is affected. Phase flip is dual to bit flip.
What is the erasure channel?,Erasure loses qubit with known location. Detected loss is erasure. Erasure is correctable error type.
What is the Pauli channel?,Pauli channel applies random Pauli operator. Probabilities for each Pauli. General depolarizing is Pauli channel.
What is channel composition?,Composition applies channels sequentially. Order matters generally. Composition builds complex channels.
What is the tensor product of channels?,Tensor product applies channels to separate systems. Independent parallel channels result. Tensor product extends to multipartite.
What is channel capacity?,Capacity is maximum reliable communication rate. Different capacities for different tasks. Capacity bounds channel usefulness.
What is the degradable channel?,Degradable channels have environment that can simulate receiver. Capacity has single-letter formula. Degradable simplifies analysis.
What is the anti-degradable channel?,Anti-degradable has receiver that can simulate environment. Zero quantum capacity results. Anti-degradable cannot send quantum.
What is channel additivity?,Additivity asks if capacities add for parallel channels. Some capacities are additive. Additivity simplifies calculation.
What is superadditivity of capacity?,Superadditivity means joint capacity exceeds sum. Entangled inputs help. Superadditivity complicates capacity.
What is channel simulation?,Simulation implements one channel using another. Resource cost is quantified. Simulation connects channels.
What is the reverse Shannon theorem in this context?,Reverse Shannon trades channel uses for entanglement. Communication resources interconvert. Theorem shows equivalence.
What is entanglement breaking channel?,Entanglement breaking destroys all entanglement. Measure and prepare form. Breaking channels have special structure.
